Strengths and Weaknesses of Air Gestures,Bucket2,Count,Quote1,Quote2,Quote3,Quote4,Quote5,Quote6,Quote7,Quote8,Quote9,Quote10,Quote11
Characteristics of suitable tasks,Tediousness of task,7,[move app] I'd love to just like snap it like like move that to my tablet without me actually having to go through 10 steps ,,"[split app] In my work we also do a lot responsive design which means you have to design in a way that works for a website and then. By phone and a tablet. And to be honest there are some simulators in the desktop, but they don't work great. They are not very good. If [this technique and gestures] were reliable it would be amazing. Just like I'd like to see it on my phone. I just send that out and and test it there right? The real thing. ","[move app] Uh, another particular case is if I am not using my mouse but my touchpad. Dragging windows says it is not that super comfortable, so being able to use the gesture would be would be great, and I often use the touch pad.","[extend desktop] like I'll have the password saved on one of the devices and not the other, and I'm like I I really need to get into this website. It's like I could go look it up or do the forgot password thing, but that's just dumb. And and the swipe gesture feels very like, Oh yeah, that's literally what I want. like you're good, get it over here, yeah.",,[grab and release photo] so many times I have a picture on my computer and its like a pain to have to email it. Wait for the picture to come in. Go to the spam or other folder. Find your own email. Copy and pasted in. Especially if you are making a presentation or something. cause i have a lot of pictures i need to share.,,"[audio redirection]  disconnecting Bluetooth and reconnecting and trying to make sure that it's not connected to the device you don't want it on, it's just that's a lot of hassle. and that hassle is replaced with a really simple gesture.",[grab and release photo]  I will email it to myself and then I'll be able to lift it. 'cause I gotta. I've got an iOS and a laptop so I don't know if that still is an issue where you're kind of. ,
Characteristics of suitable tasks,Tediousness of task,,"[gesture shortcuts] Existing navigation seems to work just fine for me, or at least like that I don't. It's not clear to me where the value added would be in my mind.",,,,,,"[grab and release photo] I take a lot of photos of my whiteboard behind there. And they are all on my phone. I would prefer to store them on my computer. But because I don’t want to go through that pain all the time, I just leave them on my phone.",,,,
Characteristics of suitable tasks,Enabling a new task*,2,,,,"[move app] Yeah, I think it's great. I I I'd love to be able to do this also with multiple monitors, not only with different devices. […] Because like it's it, it. It's it's great like being able to move stuff. You have multiple monitors and being able to move stuff between them",,,,,,"[split app] And so, uh, but I, you know, I think what's really I it's it is interesting. Being able to take components of it. I think an example of this might be when I'm doing a presentation. Uhm, often I like to keep an eye on what's happening on chat or something like that, and so I could see this happening from like like a you know, more sort of classic point of view of being like oh I could have the presentation up on my laptop. I'd have the chat here that I could keep an eye on and I would like if I. I don't know if you could even do that with teams, but that would be a a use case for me that could be quite valuable. And and and allows me to still have like the presentation on my main screen or whatever that might be.",
Characteristics of suitable tasks,Enabling a new task*,,,,,"[audio redirection] I I like this very much, I would give it a 7 and I but I don't think I would use it in that particular situation. I mean I I like the task. I like the gesture. All makes sense. I would like to be able to do this while moving from one room to the other, so I am in in my. ",,,,,,,
Characteristics of suitable tasks,Enabling a new task*,,,,,"The most compelling to me. the one thing which should grab the sound and put it on the speaker. Specially if I can do it between devices that are far away from each other, because I it doesn't make it's, it doesn't make as much sense to have some coming from another device which she is besides it, because I I can listen to both. I can hear both at the same in the first place.",,,,,,,
Characteristics of suitable tasks,Complexity of task,5,,"[audio redirection] Actually having to friggin figure out how to move your sound between speakers or your headphones is actually really hard in windows. I don't know why or it's like the it's like easy from a UI perspective, but the stupid hardware never works or it's like not paired properly and so if it was just like constantly paired and it was just there and I could literally just take something invisible like sound.",[move app] I would love that flexibility. I'm working on this and instead of going opening again it's just like hey I just wanna do this little thing. I switch it to here on switch it back so I will say also for design purposes right? Which is my work so I will do some for fun and for work.,"[split app] Uhm, I love the task. It's something that I would really like to be able to easily do. Precisely in Photoshop [...] Like constantly moving my mouse are yeah and having that in some external panel would be great.",,,"[extend desktop] it would be easier if I had a device for the dock, one for the teams chat, one for my notes. Anyway that I can have more screens, that would be very helpful.",,"Yeah, so so in my mind it's just the. The whole point is to cut down on cognitive load to cut down on time to cut down on effort. Uhm, so that I can actually use my brain. To you know, think about the important stuff. [...] That's why I'm like why would there be a learning curve? A learning curve wouldn't make sense.",,
Characteristics of suitable tasks,Complexity of task,,,,"[gesture shortcuts] For regular shortcuts I don’t think I would use them [...] But if these shortcuts include like custom shortcuts that they don't exist in there. [...] App or by default like for instance is like oh, I usually like to copy this and paste in a particular folder or do something in particular that is not manual. Then I will love that.",,,,,,,,
Characteristics of suitable tasks,Complexity of task,,,,[gesture shortcuts] What would be cool [with gestures as opposed to keyboard shortcuts] Like to select what part of you want I think is not part of the keyboard shortcut. ,,,,,,,,
Characteristics of suitable tasks,Complexity of task,,,,In general I like where this is going because I I can see myself using. I like also the wake you are reducing stuff and an example is the last thing that you were using your laptop keyboard for your phone which right now is not possible. It's possible probably and I haven't done it because I know with tablets you can do like the Bluetooth keyboard or something. So it's possible. So here you're doing more like reducing something that.,,,,,,,,
Characteristics of suitable tasks,Complexity of task,,,,"[phone navigation] So personally, for instance, I don't see myself view and for PowerPoint, but I do see myself using it for that design tools I use right. Right now I'm using something called Figma before something sketch and I do see myself like, oh, how does it look like in the perspective or something, and more when we're doing like diagrams or user flows and things, but the screen is too big. [...] So you kind of lose your perspective if you're looking at the big thing. ",,,,,,,,
Characteristics of suitable tasks,Frequency of task*,9,"uh, because it this is a scenario [move picture from phone to laptop ppt] that I would say is probably less frequent in terms of like how I like.",,"[grab and release photo] So exactly the image example, because I do a lot of things that I take a picture in my camera and sometimes I have to go and do the web, go Google photo, you know, do something that is not as natural as just taking and and that's something I do a lot like. I wanna share any managing teams for instance or somewhere else that I'm using on the computer and it's a lot of steps. So so definitely the image.","[grab and release photo] To talk about the if that's OK about the task, first I. I think this is a very common scenario, I do very often. Need to use a name and image that I have on my phone for. Yeah it is there for a PowerPoint presentation or for opening it. Uh, on Photoshop or for sharing it on a chat or something like that. It's it's a very common.","[move app] Like there are lots of times and I'm like oh, let me take your picture of this and then text you the picture.","[extend desktop] Because you know, it just allows you to transfer things because I'm often on my phone and computer. ",[grab and release photo] so many times I have a picture on my computer.,"[move app]  I think that this feature would definitely get utilized a lot, especially like when you're presenting or trying to storytale, you know a PowerPoint presentation. ","[extend desktop] And it makes some very common tasks really simple, and I like the idea of having my being able to expand my environment in my ecosystem, like that it just feels very intuitive and when I see it, I feel like it should be. It should be existing already.","[grab and release photo] And the reason is that I I can see a lot of examples in my life, whether it's work or personal, where this kind of makes sense. And so many times I am taking an image of my phone and like I will email it to myself and then I'll be able to lift it. 'cause I gotta. I've got an iOS and a laptop so I don't know if that still is an issue where you're kind of. You know you're you're. It's not Mac on Mac, so it would be in an ideal world. This would talk across those two, probably wouldn't, but you know if you could, that would be an extra like plus one for me. But there's just so many times where I am doing that. ",
Characteristics of suitable tasks,Frequency of task*,,"[phone navigation] Yeah, discover ability multiplied by low frequency act like it's for at least for me. It would be a low frequency activity so like discover ability probably wouldn't be a problem if they were. If it was something I would do all the time. 'cause like, yeah I would hopefully learn how to do it, but it's that, UM, compounded by something I I may do like once a week.",,,[move app] That's something I would do every day.,,"[move app] Because there's a lot of time, you know he like splitting screen because you know you have a PowerPoint testing or you have like a document that I'm reading and now you know I want to focus on the document or just expand. You know my current distinct to one screen transfer that. Yeah, yeah, this is something would be beneficial for my day-to-day stuff.",[move app] I can see myself using that a lot. And I think it would be really nice. ,,"[grab and release photo] And I and and it's something that I do pretty frequently, and it's something I think about pretty frequently that it should be easier to just send myself a file or an image.",,
Characteristics of suitable tasks,Frequency of task*,,[extend desktop] I'd be willing to do that [more complex interaction/not intuitive] like as a kind of like a one time or even more effort than that to as a one time thing.,,,,,,[split app] I can see using it less often. I probably would use this when I do a powerpoint. Im switching between pages a lot. I can see myself pulling out the navigator. ,,"[audio redirection] Because I I am constantly switching every single day all day, I'm constantly switching headphones ones out of battery. [...] So would be really great to have this sort of haptic way of doing it without like disconnecting Bluetooth and reconnecting and trying to make sure that it's not connected to the device you don't want it on, it's just that's a lot of hassle. and that hassle is replaced with a really simple gesture.",,
Characteristics of suitable tasks,Frequency of task*,,"Yeah, and it's and it's a scenario [split UI] that I would do then then absolutely or like I could imagine like. Yeah, if it was like Illustrator or Photoshop or Indesign or something like that. Yeah, like just like dropping certain controls over or like the UM.",,,,,,,,,,
Design factors for gestures,Similarity to physical gestures & semantics*,8,,"[extend desktop] OK cool. So I instead of doing it this way 'cause that to me is like go away. I was expecting to do something like this where I point and then like expand to another thing like I'm holding something and then putting it somewhere somewhere else almost like I'm moving it sticky note. Rather than like swiping the sticky note, 'cause if I swipe the sticky note on the the wall then it flies off. It's not like a controlled motion and in it, yeah, I don't. I don't move things that way. I like pick it up like this and then put it and expand my x?.","[extend desktop] For me is like almost like cleaning, removing as like move away. You know it's not like just moving it or extending it. For me it's almost like swiping. ","[extend desktop] I like it huh because hum its intuitive. [...] It's something that I I wouldn't. It wouldn't interfere with other operations. I don't feel like I would do that for other things, so that seems in makes sense to me.","[extend desktop pointing] The gesture is less compelling because it feels similar to like a touch screen, but it's doesn't operate like a touch screen. Like I'm guessing that he's not actually touching the screen, but it's that it's the same muscle memory I think, oh, it's like hitting a button on an ATM so.","[extend desktop] Like this to expand rather than. If I do this to me, it looks like you know I'm just moving it like the hand gesture could be a little bit more meaningful, you know, just to like you know, extend.",[gesture scope] thatd be kind of awkward I think [to use both hands],,"[gesture sequence] I I really like the continuous sequence. UM, I think that it's a lot more intuitive and it.It requires less translation, right? So in the other ones, there's there's more symbols, and in the last one there's more the distance itself as a symbol, so there's a layer of language that I need to learn to translate those things, but continuous sequence to me sounds like there's no translation. It's just like how you would handle physical objects and and I really like it. Also because I feel like that's the one the one in the middle, the continuous sequence. It's the one that made me think. But this is actually a very inclusive idea, because it really matches the way that I would like to interact with my digital space with my computer.",That you can then start to move things around. [like moving post it on a wall] It's something that I really miss about sort of the old school way of working.,
Design factors for gestures,Similarity to physical gestures & semantics*,,,"[extend desktop pointing] They are not compelling yet. All meeting like OK So what I mean by that is the gesture itself. I'd probably put this as like a one the gesture it's South, like pointing. I don't like at all because like it's very unclear what you're doing when you just like point to something and point to something else so you don't it. It's like you're counting almost. [...] From one to another, but yeah, point pointing is not the way to go because like pointing is almost like clicking.",[grab and release photo] So the idea I like that you can almost drag and drop right from the idea. I do like the way I don't feel like I naturally grab things like closing my fist [mimes she does not like closing a fist but more putting fingers together] I think it's more like graphing it. I don't know like more.,"[grab and release photo] But I think it makes sense, yeah, and that makes sense. Yeah, they want to grab something from one place and drop it at the right place. They just serve makes a lot of sense to me, yeah?",,"[grab and release photo] Oh, I love this. I love this. This is a very handy helpful feature and I think the gesture to me. Of course you know gestures are very subjective, right? Because people have different ways of doing things, but I think this kind of looks very universal because you're you know you're grabbing something and then you're putting it here. It looks like you know the, you know, even even the the hand. Pointing fingers would also work, but this is a good gesture. This is a very compelling gesture. I would put it at like 6.",,,,,
Design factors for gestures,Similarity to physical gestures & semantics*,,,"[grab and release photo] There there isn't a difference between like a window or an object like you're still grabbing the thing and moving it because you are moving it, so I'd still do that same kind of like pincher grab 1st and then release. ","[move app] So for me at least, my perception is doing the same as we were talking about the image of taking the image and putting there. And that's exactly the gesture I was suggesting that I would like. I feel it's more natural, like hey, let me grab this and put it there.","[input redirection] Like all the the gestures overall for me work. Uh, moving stuff between devices. Are are great these kind of tasks, right? You need to move stuff between devices, but the first part of that. Task invoking the menu. [...] For me, it doesn't make sense to have a gesture for that. I'd rather have a keyboard shortcut or something, and then I I use the shortcut to do the transfer.",,"[grab and release photo] It's kind of inclusive in a way that's like defines basic human. Uhm, human interaction with things, right? Like you know you would like? Yeah, take off, take something and then put it here if that makes sense.",,,,,
Design factors for gestures,Similarity to physical gestures & semantics*,,,"Yeah, for some reason, like in this particular situation [split the app], like circling a component seems a little bit more natural to me.",[split app] Like cutting it right like even when you play paper scissors. So the thing like like this user kind of sign I I would do it so but they again I feel that dragging and dropping like once you divide it how he did it I feel is the same as the previous one and that part I like it. They they're dragging and dropping but the cutting part is the one that didn't like.,So essentially the ones [gestures] that  don't necessarily apply [are least compelling]. Or bad practice? It [launching an app]  doesn't imply a movement in space.,,"[gesture shortcuts] knowing that a clap could you know it's not  a gesture that you would expect you know for it [launch app] but these kind of movements, right? Like if you know if that doesn't look very configurable to me, so people will have to remember right? By clapping it means you know it brings you to that app app view. So that's that's my only concern.",,,,,
Design factors for gestures,Similarity to physical gestures & semantics*,,,,"That that that thinking right, and also the dragging and dropping stuff like like oh you can move your image from the phone to the computer with just this is and I feel that part at least the the dragging and dropping is very natural, right? So I'm very used to [that gesture]",,,"[gesture shortcuts] Not all gestures can be replicated the way we are as a human right. Like you know how for for something you just have to have that have those rules established, right? Clapping here means we just you know, this means that for this this kind of feature that we are providing it just means that you can select the app view so that that part is OK.",,,,,
Design factors for gestures,Similarity to physical gestures & semantics*,,,,,,,,,,,,
Design factors for gestures,Similarity to physical gestures & semantics*,,,"[gesture shortcuts] So part of it is that it's not intuitive. Clapping makes it seem like I'm like trying to turn my light off. I mean, I'm from the 90s, so I still remember those commercials. [...] But the other weird part for me is like literally why would I take my hands off my keyboard to clap when I can just like. 'cause it's probably gonna be faster for me to do a keyboard shortcut to just like go to my start menu and look at the other app. Or like just kind of quickly mouse down below to see what other apps there are. And like, pop that one up.","[gesture shortcuts]  if I can do my own [gestures for shortcuts] it would be very compelling, right? Because then that would be super cool.",,,,,,,,
Design factors for gestures,Coopting physical gesture/posture*,6,"[audio redirection] It's cumbersome, and so if I if I already have the device, or yeah, because like implicit in that like that basically means there's already a physical activity involved. [...] I'm trying to do this physical interaction with the device and can it understand? Yeah can I? Can I signal that that's my intent and then for the system for the system to then act on my behalf for that? [...]  My hands are already like there.",[move app] The only so I loved that the grabbing piece as well as the feedback when there were two apps open because it's it's very clear like which one is actually being grabbed and that very much matched my mental model of like how I do things naturally is like grab and then put away throw it.,,,"Yeah, oh, I mean, it would be great to have that [a gesture to advance slides or highlight] versus having to have a separate clicker. For example, 'cause I feel like that's that's an unnatural.","[move app] [move app] Like anything you, you know it comes with some kind of training, but to be because every individual is different. I mean you know if if there is an ability to configure your own gestures like preset preset gestures, right? Like for me you know this is what I associate with demarcating the  screen that I want to move, I think giving that flexibility to the user to define their own gestures and link them to you know the outcome is is a super helpful feature, right? Like people can then customize it because there are left handed people, right handed people and different people view. You know, we all use gestures differently. One thing could mean something different for you for me, so I think it being being able to.",,"[grab and release photo]Yeah, I think that the gesture makes a lot of sense. You know, like the the idea of like grabbing something from like your your phone or something like that and then dropping like doing this like motion where you're dropping it into like the you know your PowerPoint like I think that that those gestures make a lot of sense.",,"[extend desktop] I think probably my my like one like, oh like I'm quite expressive with my hands and so trying to figure out like is there a like you know, do you sort of click something to say now we're in a place where I'm going to be moving things around with my hand or is this like a as soon as the hand shows up.",
Design factors for gestures,Coopting physical gesture/posture*,,,,,,,,,,,"[move app] Yeah, it made sense to me I. I think if like if I didn't see the hand gesture and you just ask me, hey, can you grab the right side and move it over or or, you know select the right side and move it over? That would be the gesture that I would use.",
Design factors for gestures,Complexity of gesture*,5,,,,[move toolbar] I I I I kind of like it.I think it's it's a little bit better than the previous one [continuous gesture where you split and then grab and release]. It seems more straightforward. ,"They seem very suited to immediate and somewhat coarse actions.Uh, but I don't ever do anything more complicated. At that point. It's like then I'm. I'm like I'm relying on.Looking at my computer as a muscle or looking at my phone is like oh looking at this reminds me what the syntax is.","[split app] Yeah for me for this one. The initial where he's trying to use his hand to break break the screen into the number of components that's preset. I'm assuming right? Like preset number of components. That part is a little confusing. It's a little misleading like I couldn't keep up with the hand gestures. I would do it at different. I would do it a little differently, like I would probably you know. Just go there and like you know, do something like that to kind of disperse.",,,"[grab and release photo] [suggest a different gesture] So if you were to like do a double tap. And do like a swipe. So double tap to select and then swipe. But I kinda like the grab and drop more. It's it's simpler, right? It's it's one gesture instead of. It's two gestures and set it up like 3 so it's a little bit simpler to just do this.","[split app] It yeah, it just it. It makes sense when you're going through it step by step like that, but I think like it would feel like, oh I, I had like an immediate or not. An immediate. I'm an intermediate or like level of understanding of this technology, not like sort of an early stage. So if it does feel like that like one level up to using this.",
Design factors for gestures,Complexity of gesture*,,,,,"[split app] The gesture seems a little bit complex, but it makes sense to me. Because you have first the kind of the selection thing, then, then you, then you grab, then you move away, then you drop. It's it's like several steps. It seems complex, prone to error for me. [...] I guess you you you can get used to it, but that that's kind of the first impression, right?","yeah, and I'll add as a as a user I don't. I have disabled most of the trackpad multi finger.","[input redirection] Use this, I would rather like instead of doing it that complicated way so it's basically I'm typing in a Word document. I would just move like the Word document. I should be able to just move that Word document like where I'm typing that typing screen to my tablet and I don't know why I have to move the keyboard like physically to to indicate that gesture. Does that make sense my my objective, my objective here is to just, you know, make the text appear. [...] I don't know why I have to go through so many hoops and loops to be able to do that because to me it should have been just a simple gesture. Like I opened the Word document here obviously and then I should be able to. Just because the devices are linked through sensors.",,,"[split app] Now all the I have to do those things one by one. So one is I give a command of folding my fingers to select a subset and then I just have to move around to so it's like clicking and pointing, whereas in the other one I don't have that control.",,
Design factors for gestures,Complexity of gesture*,,,,,,,"[input redirection] this is definitely for achieving something simple. I'm doing like I'm using too many gestures and it can be solved in a simpler way maybe, yeah?",,,,,
Design factors for gestures,Visual feedback,8,"So if that was actually giving you the wrong gesture, like it like it it I would get clear feedback that it wasn't interpreting me correctly.",[grab and release photo] I like the idea of having feedback that exact feedback icon might need to be a little more redesigned. It almost the Gray version of it and not the black version. The Gray version looked like it was like a wrench instead of like a hand that was holding something and then the black version. At least from my. [...] But I do like the idea of having that feedback. I think that's really intuitive and then the thing I was going to say is I would almost also like.,"[audio redirection] Like changing where I have the sound, I usually use my phone because I use the Spotify. and I can change it from there to here. [...] Because we already have the same drag and drop for moving the app completely. In this case, I don't see how different is like why did I not move the app percent you chose this sound right? So I don't know that part of just specifying grab the sound, not the app. [...] Uh so so then you don't know what it's moving until you point to the specific device. ",[grab and release photo] Where is my picture in the end? Did I just move it? Sometimes you just want to move things? Or did it copy or ?,"[grab and release photo] On my laptop, like I don't know if I did that, what would I be grabbing? Would I be grabbing the video of you or the window behind it?","[extend desktop] You know, if I if I have a email right that I'm looking on my laptop and I want that email to be on my phone and then when I do it on the tablet so will it be still visible on all of the three devices? Or did I just like move it? Or did I so it's like looks like now I'm just copying it right? I didn't really move and take take this to another screen and then can it also happen with non static like with dynamic content? For example if I'm in a teams meeting with you right now.",[grab and release photo] I do like the way there is the shadow.,"[grab and release photo] I I I like the feedback of the hand up, I think like you know I, I think having that outline in the PowerPoint makes a lot of sense because it it lets the person know, like oh here, you know, put your hand here to drop the image off here. So like that makes sense to me, yeah.",,,
Design factors for gestures,Visual feedback,,"And I could also imagine like that, like if some scenario wasn't supported, at least then it would give me that visual confirmation. It would tell me some indicator of like. No, you can't move the app from here to there.",[move app] The only so I loved that the grabbing piece as well as the feedback when there were two apps open because it's it's very clear like which one is actually being grabbed and that very much matched my mental model of like how I do things naturally is like grab and then put away throw it.,,[move toolbar] Hover and then I know what I'm going to grab because I depending on what I hovering with it gets highlighted then you grab it.,,"[grab and release photo] I saw the shadow which is which is good because that that is just like a visual feedback saying yeah, you know you have something in your hand to drop it there, which I think is because then you know if if there is a technology challenge or something and the sensor didn't capture it correctly, the person would know, like my hand is empty and know its why its not dropping it. So I like that.",[gesture scope] do the gesture and see some sort of reaction on the screen,[split app] The different like hand gestures like the splitting motion I think is a little bit different than the other one I I know like this one also doesn't have like a prompt. That kind of like lets you know that your hand is like kind of like in the screen. So I think like having a prompt would definitely be better because then I feel like you would come across like what if you didn't mean to like what have you did like a hand gesture to the screen and then you didn't mean to do that hand gesture but then now it's selecting like multiple panels.,,,
Design factors for gestures,Visual feedback,,Made me feel good about that. Was that the the level of visual indicators that kind of gave me that feedback loop that like that the system is following my intent.,"That that has been grabbed. 'cause like there's nothing that shows you that it's been grabbed right now. There or there maybe. Maybe there's a fist or something that shows up, but some sort of feedback would be good, 'cause otherwise I have no idea of if I'm grabbing it 'cause it's almost like I'm I'm pulling it out of the screen into thin air and then putting it onto another screen. But like it doesn't shrink. It doesn't do anything when I do that.",,,,"[move app] It splits the screen and it draws to blue border with both the pictures. I didn't quite with both and then he has to move his hand either to the right right like in order to select the boundary to select that particular screen that he needs to move, and that's highlighted in red, so which gives him like visual indication that OK Now you have selected the one that you want to move and then he just grabs it and puts it. Yeah, this is compelling enough for me. Like looks OK.",,,,,
Design factors for gestures,Visual feedback,,,,,,,[move app] Drawing that you know that visual feedback that he gets to confirm his selection before he actually moves so.,,,,,
Design factors for gestures,Visual feedback,,,,,,,"[move app] Because the the appealing factor. To me it's not only just the motion, but it's also the visual feedback. That I get that confirms. You know what part of the screen are moving, so that's super helpful.",,,,,
Design factors for gestures,Social context*,2,,"[move app] When I'm talking to a coworker and just like move them from one screen to another and so that would be interesting. But one thing I did notice is that, like.The there were like cameras capturing my hand motion.",,,,,"the scenario the most useful to me would be when I am in a teams call. So I would like to be able to do it off camera. To do it discretely, if that is something the sensor would be able to pick up. So if that is possible, that would be great. [...]  I could see me getting used to do these gestures and want to do it when I have my camera on. ",,,,
Design factors for gestures,Social context*,,,"[gesture shortcuts] It might be sort of learned like I could maybe learn it, but like, Can you imagine snapping your fingers while you're on like a teams call trying to take a screenshot of someone else's screen? That's super obvious at that point what you're doing.",,,,,,,,,
Design factors for gestures,Feeling empowered*,1,,,,,,,,,,"Like what what that would look like but and and then like feeling stupid or or like, you know, risking something for playing around with it. So is there ways that we you could interact with this that could be really interesting and engaging and thought provoking that doesn't like put you in a position where you're kind of breaking something or feeling stupid.",
Gesture vocabulary,,,,,,,,,,,,,
Design rationale,Interaction mental model,8,,[move app] The only so I loved that the grabbing piece as well as the feedback when there were two apps open because it's it's very clear like which one is actually being grabbed and that very much matched my mental model of like how I do things naturally is like grab and then put away throw it.,"[input redirection] I like that It's kind of the same gesture [compare to other grab and release], even though it's to move thing from a menu.","[extend desktop pointing] If I if I kind of think about a world in which I'm going to be using a bunch of gestures, pointing would likely.For me it would be more useful for something else.","There's probably a few gestures that I would just get muscle memory for very quickly, but I don't think there are that many where.",,[gesture scope] for that subselection it would be a lot more natural for me to point or  do that pinch selection that was shown just because you are trying to get something teeny tiny or just a little piece. [...] what makes sense is there is the whole thing and there is this piece of it. [...] what is your hand actually doing.  ,"[gesture sequence] yeah yeah for sure. UM, I definitely like the continuous sequence over the discrete sequence and the gestured modified and and that I I think the reason why is because I think that the discrete sequence where you're having like 3 different like hand signals for for like the different gestures or the different movements that you're trying to do. I think that I can get like very confusing with like just knowing like the different hand symbols. I think like the continuous 1. Where you're like, again, like you're either. Either it be like you're waving, or you're tapping the screen and then like picking what you want and then like picking it up and dropping it to another screen. I think like that motion makes a lot more sense to me, and then I think the one where it's based off of like your distance it can get a little tricky so I think for me it's not like the most ideal thing just because like I'm, I'm also like a lot shorter. So like I don't know like how like what the distant ratio needs to be.","[grab and release photo] yeah no. The gesture makes perfect sense to the only thing that I'm wondering is because it's a sort of grab gesture. It's very similar to if I wanted to pinch to zoom in or out. So we already have that gesture pretty established in terms of zooming in and out on a screen. So I just wonder if yeah. [...] Yeah, I guess just in terms of my own paradigm of like trying to do these things and then having to maybe do a little bit of cognitive work to make sure to differentiate between the two.","[gesture scope] I think for me, definitely the one hand versus 2 makes more sense to me. I think as soon as you start to get two hands involved, like you, you know you. It's a it's a lot going on. So if we if you could use one hand, I think that's like more beneficial. I also think for potentially like accessibility one hand gives us more.",
Design rationale,Interaction mental model,,,,,"[grab and release photo] does this gesture [grab an release] describe what I would most often do, which is more like a copy and paste scenario and I feel I think it does. The copying and pasting the file or duplicating the file on the computer is also something I would do but its usually an intermediate step for the other one. ","Yeah, I and I think there's there's. There's again that small universe of maybe there's three or four gestures that I could do one handed with one hand on the wheel and it would. Even if it didn't do the entire action. Maybe it would just call up the the correct app to the forefront.",,,"[gesture sequence] yeah, for sure. So I think having the continuous sequence makes a lot of sense, especially when I'm moving different components of an application. I I, you know, like I mentioned before, I think having like different hand gestures could make it confusing as well as like having like applying like distance like not knowing like the.","[audio redirection] You know it from the one before. It wasn't so much about confusing the two gestures. It's more about like every time I do it with an image. I think about the fact that it's very similar to to pinching to zoom in and out it just it adds to my cognitive load. And it's just distracts me, yeah?","[gesture scope] There's something specific and and I like the idea of like, yeah, like the fingers spread the wider it is and then and then you can zero in [getting closer to the screen] that feels quite natural to me. Me and and I think like you know I am a glasses wearer, but I still like even if I'm like still focusing in on something I lean in and I so it's almost like that is a natural reaction of like yeah I, but I want to focus in on something smaller or over here like yeah, it does make sense to kind of be in that in that way.",
Design rationale,Interaction mental model,,,,,,,,,"For entertaining, for whatever it may be, a man and I really enjoyed, you know, going through you know the different types of like hand gestures. I think some of them are more intuitive than others, but I definitely think that having like the more simple, the lush gestures that you have to make, but then also adding the layer of you know, being able to hit a keyboard or utilize your like voice control. I think like that's very unique.","[gesture modifier] So it in my mind it's going to have to be a combination of time and other modality for a couple reasons. The time portion of it makes really great sense to me because we already kind of have that experience in the form of 3D touch on the iPhone. Uh, I mean, you know the idea is that you're touching harder, but at the same time it it feels like it's there. There's a it takes a certain amount of time for it to recognize it, so that's what it reminds me of it. It's like the idea that over the longer, the harder I push, something happens, but I feel like it would be in order to be it accessible and inclusive. You're going to have to have both because. I don't know. Not everybody has an easy time with with the concept of time. Not everybody has an easy time with like clicking something on a keyboard and not everybody has an easy time with speech. So I think that having a combination of the three is really necessary for accessibility.",,
Design rationale,Knowledge transfer* ,7,[split app] really getting excited about it OK. [...] I guess once I discover in what context can I do it [...] it would be strange for me to just try that with everything [...] Year it if was like Illustrator or Photoshop or Indesign or something like that. Yeah.,,"[audio redirection] Because we already have the same drag and drop for moving the app completely. In this case, I don't see how different is like why did I not move the app, you chose this sound right? So I don't know about that part of just specifying grab the sound, not the app.",,"[extend desktop pointing] The gesture is less compelling because it feels similar to like a touch screen, but it's doesn't operate like a touch screen. Like I'm guessing that he's not actually touching the screen, but it's that it's the same muscle memory I think, oh, it's like hitting a button on an ATM so.","[split app] Right, like you know it it into different components, but what worked for me is is the second piece right where once the different components are highlighted with specific borders then he moving you know it's similar to the previous example that we saw. Like just moving it there. Then you know the hand just showing you know the selection right? And then bringing that into the phone like that part is seamless right? The initial part is a little confusing.","[move app] if I were to use this right now. I would want it to work with my laptop, my ipad, my phone probably but also my monitor. And my monitor does not have a sensor but I need to be able to do it for all. For my hum. Setup that I have right now.","yeah, I definitely like you know like the grab and the the grab and I don't know what you call like a grab and drag feature of like having like an image on your phone and being able to drag that into like a PowerPoint. I think you know like that's very helpful in many situations like it could be applied to many different you know backgrounds and roles and jobs and what not. I I really like the the feature of being able to you know you know.","[gesture modifier] I think my preference would be a voice adding voice component to it.  I think the the reason why I chose voice is because all the examples that we've seen so far, the commands have been really simple. They've been move select. I don't know save, copy, you know they're they're commands that I know already.",,
Design rationale,Knowledge transfer* ,,,,"[input redirection] [suggests  a swipe from top or bottom gesture instead of hold to open the menu] it's just to see all the notifications or stuff or extra stuff. So so you opened your phone and your slide from the top to the bottom, and in my iPad to do the same, I slide from the bottom to the app. It's almost like it's something hidden.",,,"I do this [grab and release gesture] and it transfers it [either the file, the app or the compenent]. It depends on what the flow is.",,,,,
Design rationale,Knowledge transfer* ,,,,,,,"[input redirection] Just because the devices are linked through sensors, I should be able to like, you know. Take those, wrap the screen so it should indicate that right is that there should be that kind of a workflow here where I grabbed the screen my with using my usual grab gesture. I put it on the tablet, sees this screen and then allows me to continue normally. It should just understand that that's what I'm trying to do because I was actively typing and I'm Oh yeah, if that makes sense.",,,,,
Design rationale,Knowledge transfer* ,,,,,,,"Little confusing, it just looks like you know we're using the similar gesture to mean something else elsewhere in the previous videos, but for this, if it means like like you would want this to be trainable enough that people just. You know, understand the different combination of gestures to mean like we are not using the same gesture to mean multiple things, because that can be confusing. But if you're you know, I would just use a different gesture here instead of just doing to me. This now doesn't mean like am I focusing on this screen to move somewhere or what am I doing? Like because we are now splitting splitting this to identify the various components. So I would just do like something different.",,,,,
